Run,Model,Precision,Recall,F1,Accuracy
csabstruct_20241211_111542,sentence-transformers/all-mpnet-base-v2-uni-directional-no-freeze,42.13,37.62,39.02,63.08
dailydialog_20241211_122639,sentence-transformers/all-mpnet-base-v2-uni-directional-no-freeze,25.57,10.47,13.64,47.4
emotionlines_20241211_130404,sentence-transformers/all-mpnet-base-v2-uni-directional-no-freeze,27.95,23.53,25.16,46.85
pubmed200k_20241211_111656,sentence-transformers/all-mpnet-base-v2-uni-directional-no-freeze,69.04,67.4,68.17,83.86
coarsediscourse_20241211_111746,sentence-transformers/all-mpnet-base-v2-uni-directional-no-freeze,33.38,27.71,29.23,41.01
csabstruct_20241211_191513,sentence-transformers/all-mpnet-base-v2-bi-directional-no-freeze,43.88,44.41,43.09,63.75
dailydialog_20241211_191523,sentence-transformers/all-mpnet-base-v2-bi-directional-no-freeze,33.43,20.17,24.46,50.98
emotionlines_20241211_191429,sentence-transformers/all-mpnet-base-v2-bi-directional-no-freeze,29.03,24.38,26.06,45.88
pubmed200k_20241212_001022,sentence-transformers/all-mpnet-base-v2-bi-directional-no-freeze,73.23,72.12,72.59,85.52
coarsediscourse_20241212_001317,sentence-transformers/all-mpnet-base-v2-bi-directional-no-freeze,33.59,28.89,30.27,42.22
csabstruct_20241212_003736,sentence-transformers/all-mpnet-base-v2-bi-directional-freeze,41.08,39.18,37.43,61.23
dailydialog_20241212_004612,sentence-transformers/all-mpnet-base-v2-bi-directional-freeze,32.94,17.46,22.03,51.81
emotionlines_20241212_005416,sentence-transformers/all-mpnet-base-v2-bi-directional-freeze,29.25,24.56,26.06,47.14
pubmed200k_20241212_005853,sentence-transformers/all-mpnet-base-v2-bi-directional-freeze,73.68,72.27,72.89,85.78
coarsediscourse_20241212_024238,sentence-transformers/all-mpnet-base-v2-bi-directional-freeze,33.77,26.96,29.15,41.48
csabstruct_20241213_021421,sentence-transformers/nvembed,55.64,56.44,55.65,71.98
csabstruct_20241213_021553,sentence-transformers/nvembed,55.41,58.27,56.72,71.83
dailydialog_20241213_021736,sentence-transformers/nvembed,42.43,26.22,31.77,57.67
dailydialog_20241213_022018,sentence-transformers/nvembed,38.48,24.9,30.01,56.63
emotionlines_20241213_022239,sentence-transformers/nvembed,37.8,33.54,34.86,52.89
emotionlines_20241213_022517,sentence-transformers/nvembed,35.88,28.62,31.26,51.19
pubmed200k_20241213_021532,sentence-transformers/nvembed,81.98,81.52,81.72,90.2
pubmed200k_20241213_024140,sentence-transformers/nvembed,81.01,81.26,81.12,89.83
coarsediscourse_20241213_030827,sentence-transformers/nvembed,45.58,40.24,42.4,51.05
coarsediscourse_20241213_033843,sentence-transformers/nvembed,44.32,38.36,40.05,50.56
